# O
赣 B-location
州 I-location
市 I-location
公 O
安 O
局 O
通 O
报 O
爆 O
炸 O
事 O
故 O
# O
疑 O
似 O
燃 B-reason
气 I-reason
爆 I-reason
炸 I-reason
？ O
已 O
经 O
发 O
生 O
多 O
起 O
类 O
似 O
事 O
故 O
了 O
， O
每 O
次 O
都 O
是 O
大 O
范 O
围 O
严 O
重 O
伤 O
亡 O
！ O
真 O
的 O
太 O
可 O
怕 O
了 O
， O
每 O
次 O
都 O
是 O
惨 O
重 O
的 O
教 O
训 O
！ O
想 O
知 O
道 O
国 O
外 O
类 O
似 O
事 O
故 O
多 O
不 O
多 O
， O
如 O
果 O
多 O
媒 O
体 O
一 O
定 O
大 O
肆 O
报 O
道 O
， O
但 O
是 O
好 O
像 O
没 O
看 O
到 O
过 O
； O
如 O
果 O
没 O
有 O
， O
他 O
们 O
是 O
怎 O
么 O
做 O
的 O
？ O
纯 O
科 O
学 O
探 O
讨 O
， O
避 O
免 O
以 O
后 O
出 O
现 O
类 O
似 O
事 O
故 O
！ O
# O
梨 O
泰 O
院 O
# O
