# O
哈 B-location
尔 I-location
滨 I-location
一 O
小 O
区 O
燃 B-reason
气 I-reason
爆 I-reason
炸 I-reason
致 O
1 O
死 O
7 O
伤 O
# O
燃 O
气 O
给 O
我 O
们 O
的 O
生 O
活 O
带 O
来 O
便 O
利 O
， O
千 O
家 O
万 O
户 O
供 O
热 O
、 O
做 O
饭 O
或 O
烧 O
水 O
都 O
离 O
不 O
开 O
燃 O
气 O
然 O
而 O
燃 B-reason
气 I-reason
泄 I-reason
漏 I-reason
一 O
旦 O
引 O
发 O
爆 O
炸 O
事 O
故 O
， O
将 O
会 O
带 O
来 O
严 O
重 O
后 O
果 O
， O
给 O
人 O
们 O
的 O
生 O
命 O
财 O
产 O
造 O
成 O
巨 O
大 O
损 O
失 O
， O
因 O
此 O
更 O
应 O
加 O
强 O
燃 O
气 O
安 O
全 O
使 O
用 O
意 O
识 O
， O
戳 O
图 O
了 O
解 O
！ O
@ O
黄 O
石 O
消 O
防 O
1 O
1 O
9 O
